PLANNING TABLE: 50m | Tx 22/27 | ZHL-16C-GF 50/70
Max bottom time (double ascent): 27'

,27',30',27',30',27',27',30',30',
,50m,50m,53m,53m,50m,50m,53m,53m,50m
,Main,Longer,Deeper,D & L,no 50,no O2,no 50,no O2,bounce

53m,,,27,30,,,30,30,
50m,27,30,,,27,27,,,10
-21m,31 (1),36 (1),33 (1),36 (1),,31 (1),34 (1),36 (1),14 (1)
-18m,32 (1),37 (1),34 (1),38 (1),32 (2),32 (1),38 (3),38 (1),
-15m,34 (2),39 (2),37 (2),40 (2),36 (3),34 (2),42 (4),40 (2),
-12m,37 (2),43 (3),40 (3),44 (4),41 (5),37 (2),49 (7),44 (4),
-9m,42 (5),48 (5),45 (5),50 (6),50 (9),42 (5),61 (12),50 (6),16 (1)
-6m,50 (8),58 (10),55 (9),62 (11),68 (18),50 (8),85 (23),62 (11),17 (1)
*3m,63 (12),72 (13),68 (13),76 (14),83 (14),68 (17),103 (18),83 (21),21 (3)

Depth,50,50,53,53,50,50,53,53,50
Total deco,31,36,35,40,51,36,68,47,6
Runtime,63,72,68,76,83,68,103,83,21
Turn pressure,104,89,98,83,104,104,83,83,186

OTU,83,96,93,103,67,71,82,90,27
CNS %,32%,38%,38%,42%,27%,28%,34%,37%,11%
END,34m,34m,36m,36m,34m,34m,36m,36m,34m
PO2,1.32,1.32,1.39,1.39,1.32,1.32,1.39,1.39,1.32

Back gas left,95,80,88,72,44,95,3,72,177
EAN50,137,119,122,111,--,103,--,68,184
O2,176,174,174,172,172,--,164,--,194

MIN FILLS
Back gas Tx 22/27,5544L,227 bar
EAN50,1462L,132bar 11.1L,142bar 10.3L,256bar 5.7L
O2,402L,36bar 11.1L,39bar 10.3L,71bar 5.7L

ASSUMPTIONS
SAC,20 L/min (bottom),17 L/min (deco)
Descent,20 m/min
Ascent,10 m/min
Cylinders,back 24.4L @ 230 bar,EAN50 11.1L @ 200 bar,O2 11.1L @ 200 bar
Deco switches,EAN50 @ 21m,O2 @ 3m
Last stop,3m
Min gas,2-diver,1 min problem-solving at depth
Hot fill (40°C → 18°C),back 247 bar,EAN50 215 bar,O2 215 bar
