PLANNING TABLE: 50m | Tx 23/33 | ZHL-16C-GF 50/70
Max bottom time (double ascent): 30'

,30',33',30',33',30',30',33',33',
,50m,50m,53m,53m,50m,50m,53m,53m,50m
,Main,Longer,Deeper,D & L,no 50,no O2,no 50,no O2,bounce

53m,,,30,33,,,33,33,
50m,30,33,,,30,30,,,10
-21m,36 (1),39 (1),36 (1),39 (1),34 (1),36 (1),38 (2),39 (1),14 (1)
-18m,37 (1),40 (1),38 (1),41 (2),36 (2),37 (1),41 (3),41 (2),
-15m,39 (2),42 (2),40 (2),44 (2),39 (3),39 (2),47 (5),44 (2),
-12m,43 (3),47 (4),44 (4),48 (4),46 (6),43 (3),56 (9),48 (4),
-9m,48 (5),53 (6),50 (6),55 (7),57 (11),48 (5),70 (14),55 (7),16 (1)
*6m,68 (20),75 (22),72 (21),79 (23),80 (23),80 (32),99 (28),95 (39),20 (4)

Depth,50,50,53,53,50,50,53,53,50
Total deco,33,37,36,40,46,45,61,56,6
Runtime,69,76,72,79,81,81,99,95,21
Turn pressure,89,75,83,67,89,89,67,67,186

OTU,109,119,116,128,97,90,116,108,30
CNS %,85%,93%,91%,100%,87%,35%,106%,43%,20%

Back gas left,80,66,72,57,43,80,4,57,177
EAN50,144,138,138,131,--,65,--,35,187
O2,150,145,148,143,143,--,131,--,189

MIN FILLS
Back gas Tx 23/33,5520L,226 bar
EAN50,1836L,165bar 11.1L,178bar 10.3L,322bar 5.7L
O2,771L,69bar 11.1L,75bar 10.3L,135bar 5.7L

ASSUMPTIONS
SAC,20 L/min (bottom),17 L/min (deco)
Descent,20 m/min
Ascent,10 m/min
Cylinders,back 24.4L @ 230 bar,EAN50 11.1L @ 200 bar,O2 11.1L @ 200 bar
Deco switches,EAN50 @ 21m,O2 @ 6m
Last stop,6m
Min gas,2-diver,1 min problem-solving at depth
Hot fill (40°C → 18°C),back 247 bar,EAN50 215 bar,O2 215 bar
